,id,company,fiscal_year,quarter,call_date,transcript_url,ppt_url,basic_industry,company_name,month,expected_quarter
61,DIVISLAB_FY2017_Q4,DIVISLAB,FY2017,Q4,Mar 2017,https://www.divislabs.com/wp-content/uploads/2018/09/DivisLab-Conference-call-March-27-2017-Transcript.pdf,,Pharmaceuticals,Divi'S Laboratories Ltd.,Mar,Q3
83,DIXON_FY2023_Q1,DIXON,FY2023,Q1,Jun 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1204ccfc-334c-4919-91f8-1b47fe7065bd.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2b746270-2dea-4339-b648-15e3050e677f.pdf,Consumer Electronics,Dixon Technologies (India) Ltd.,Jun,Q4
366,LALPATHLAB_FY2019_Q4,LALPATHLAB,FY2019,Q4,Mar 2019,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1f1f2ef1-ebb8-48c6-8070-a230436e6e2c.pdf,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2019/2/ba706057-8d7a-45a0-b310-91fe8413a785.pdf,Healthcare Service Provider,Dr. Lal Pathlabs Ltd.,Mar,Q3
367,LALPATHLAB_FY2019_Q3,LALPATHLAB,FY2019,Q3,Dec 2018,https://www.lalpathlabs.com/pdf/Analyst-Concall-Transcript-Q2-H1-FY19.pdf,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2019/2/553c008c-056a-4b32-ac34-11d7058e43bd.pdf,Healthcare Service Provider,Dr. Lal Pathlabs Ltd.,Dec,Q2
372,LALPATHLAB_FY2018_Q2,LALPATHLAB,FY2018,Q2,Sep 2017,https://www.lalpathlabs.com/pdf/Analyst-Call-Transcript-Q1-FY18.pdf,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2017/9/9e820b86-7c14-4bb8-8cef-06ba244f06a4.pdf,Healthcare Service Provider,Dr. Lal Pathlabs Ltd.,Sep,Q1
423,DRREDDY_FY2023_Q1,DRREDDY,FY2023,Q1,Jun 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3ba2cb01-418b-4457-883b-d648d156042e.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8aec942f-f41b-4833-a6df-aa35b0a80fb7.pdf,Pharmaceuticals,Dr. Reddy'S Laboratories Ltd.,Jun,Q4
479,IDBI_FY2024_Q4,IDBI,FY2024,Q4,Mar 2024,,https://www.idbibank.in/pdf/Analyst_Mar_2024.pdf,Private Sector Bank,I D B I Bank Ltd.,Mar,Q3
742,DYCL_FY2022_Q2,DYCL,FY2022,Q2,Sep 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0319b7a8-c76c-488c-b325-6d40c7d6e270.pdf,Cables - Electricals,Dynamic Cables Ltd.,Sep,Q1
872,EIDPARRY_FY2024_Q1,EIDPARRY,FY2024,Q1,Jun 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8b72a792-cf50-4b0e-b6de-359445cd310f.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4980d3b2-3579-4e2b-94de-e6c2301d04f6.pdf,Fertilizers,E I D-Parry (India) Ltd.,Jun,Q4
898,EIDPARRY_FY2021_Q1,EIDPARRY,FY2021,Q1,Jun 2020,https://www.eidparry.com/wp-content/uploads/2020/08/Quarter-ended-%e2%80%93-30.06.2020.pdf,,Fertilizers,E I D-Parry (India) Ltd.,Jun,Q4
1249,EDELWEISS_FY2022_Q1,EDELWEISS,FY2022,Q1,Jun 2021,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c75b684b-fef4-486d-a9ed-2bf8d2a55f42.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7cd8c089-2cb3-4f03-a19a-479e855578e6.pdf,Holding Company,Edelweiss Financial Services Ltd.,Jun,Q4
1251,EDELWEISS_FY2021_Q4,EDELWEISS,FY2021,Q4,Mar 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a1270792-edee-48cd-ace4-3b20c620783e.pdf,Holding Company,Edelweiss Financial Services Ltd.,Mar,Q3
1415,EROSMEDIA_FY2017_Q2,EROSMEDIA,FY2017,Q2,Sep 2016,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9DE118CD_8F82_4867_9FAA_0F2DFAEC4AED_184336.pdf,"Film Production, Distribution & Exhibition",Eros International Media Ltd.,Sep,Q1
1672,ELGIEQUIP_FY2022_Q4,ELGIEQUIP,FY2022,Q4,Mar 2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9218249f-23e3-4c28-9d68-dddf07842b86.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b7073f4c-c275-4547-8539-32d0db9c8971.pdf,"Compressors, Pumps & Diesel Engines",Elgi Equipments Ltd.,Mar,Q3
1969,KRIDHANINF_FY2018_Q2,KRIDHANINF,FY2018,Q2,Sep 2017,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2017/9/2721c039-f7bf-4f0e-be1b-69c841cfcfd5.pdf,Civil Construction,Kridhan Infra Ltd.,Sep,Q1
2155,EMMBI_FY2021_Q2,EMMBI,FY2021,Q2,Sep 2020,https://emmbi.com/wp-content/uploads/2020/11/Q1-ConCall-Transcript-2020-2021-1.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/93cce162-5fec-4ed4-9f30-a10a57bf8832.pdf,Packaging,Emmbi Industries Ltd.,Sep,Q1
2156,EMMBI_FY2021_Q1,EMMBI,FY2021,Q1,Jun 2020,https://emmbi.com/wp-content/uploads/2020/06/Conference-Call-Transcript-19.06.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1268790e-da54-4089-b1bf-19e51042b249.pdf,Packaging,Emmbi Industries Ltd.,Jun,Q4
2192,KRIDHANINF_FY2018_Q1,KRIDHANINF,FY2018,Q1,Jun 2017,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2017/6/19996881-e08a-4920-88ed-74e09a73dae9.pdf,Civil Construction,Kridhan Infra Ltd.,Jun,Q4
2286,ENDURANCE_FY2020_Q3,ENDURANCE,FY2020,Q3,Dec 2019,https://www.endurancegroup.com/media/pdf/15-11-2019-ba54215fb464e30.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5dfd7369-5c91-4399-bb58-cc0b4ab5b610.pdf,Auto Components & Equipments,Endurance Technologies Ltd.,Dec,Q2
2584,KRIDHANINF_FY2017_Q4,KRIDHANINF,FY2017,Q4,Mar 2017,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=362BCA64_6913_4A8C_8F5E_4E6578682A74_170744.pdf,Civil Construction,Kridhan Infra Ltd.,Mar,Q3
2724,EQUITASBNK_FY2022_Q2,EQUITASBNK,FY2022,Q2,Sep 2021,https://ir.equitasbank.com/wp-content/uploads/2021/11/ESFB-Q2FY22-Conference-Call-Transcript.pdf,,Other Bank,Equitas Small Finance Bank Ltd.,Sep,Q1
