Symbol,Tier 
20MICRONS,Tier 1
3BBLACKBIO,Tier 2
ABCOTS,Tier 3
ABINFRA,Tier 3
ADSL,Tier 1
ADVANCE,Tier 0
ADVENTHTL,Tier 0
AFSL,Tier 2
AGARIND,Tier 3
AHCL,Tier 2
AKCAPIT,Tier 3
ALICON,Tier 1
ALLCARGO,Tier 1
ALLDIGI,Tier 1
AMANTA,Tier 0.5
AMBIKCO,Tier 3
AMIRCHAND,Tier 0
AMNPLST,Tier 3
ANDHRAPAP,Tier 3
ANDHRSUGAR,Tier 3
ANUHPHR,Tier 2
APEX,Tier 1
APTECHT,Tier 3
AQYLON,Tier 3
ARIHANT,Tier 2
ARIHANTCAP,Tier 3
ARIHANTSUP,Tier 1
ARIS,Tier 2
ARROWGREEN,Tier 2
ASAL,Tier 3
ASTAR,Tier 3
ATL,Tier 1
ATULAUTO,Tier 3
AVADHSUGAR,Tier 2
AVTNPL,Tier 3
AWHCL,Tier 1
AYMSYNTEX,Tier 3
BAJAJHCARE,Tier 3
BAJAJINDEF,Tier 3
BAJAJST,Tier 2
BALAJITELE,Tier 2
BCLIND,Tier 1
BEEKAY,Tier 3
BESTAGRO,Tier 1
BHAGERIA,Tier 3
BHAGYANGR,Tier 2
BHARATSE,Tier 3
BHARATWIRE,Tier 2
BIGBLOC,Tier 1
BIL,Tier 3
BIRLACABLE,Tier 3
BIRLAMONEY,Tier 3
BIRLANU,Tier 1
BLACKROSE,Tier 1
BLAL,Tier 3
BLKASHYAP,Tier 2
BMWVENTLTD,Tier 0
BODALCHEM,Tier 1
BORANA,Tier 2
BOROSCI,Tier 2
BSHSL,Tier 3
BUTTERFLY,Tier 3
CAPITALSFB,Tier 1
CCCL,Tier 3
CENTENKA,Tier 1
CENTRUM,Tier 3
CEWATER,Tier 1
CHEMBONDCH,Tier 2
CHEMCON,Tier 2
CHEMFAB,Tier 2
CHEVIOT,Tier 3
CIFL,Tier 3
CLSEL,Tier 1
CNL,Tier 1
COFFEEDAY,Tier 3
COMSYN,Tier 3
CONSOFINVT,Tier 3
CONTROLPR,Tier 1
CREST,Tier 3
CSLFINANCE,Tier 1
DAMCAPITAL,Tier 2
DAVANGERE,Tier 3
DBOL,Tier 1
DCMSIL,Tier 0
DCW,Tier 1
DECCANCE,Tier 3
DENTA,Tier 1
DHAMPURSUG,Tier 1
DHANBANK,Tier 3
DHARMAJ,Tier 2
DHUNINV,Tier 3
DIFFNKG,Tier 1
DIGITIDE,Tier 1
DISHTV,Tier 3
DMCC,Tier 1
DOLATALGO,Tier 3
DPSCLTD,Tier 3
DVL,Tier 3
DWARKESH,Tier 2
ECOSMOBLTY,Tier 1
EIFFL,Tier 3
EIMCOELECO,Tier 3
EKC,Tier 1
ELDEHSG,Tier 1
ELECTHERM,Tier 3
ELIN,Tier 1
EMAMIPAP,Tier 3
EMKAY,Tier 2
ENIL,Tier 1
ESTER,Tier 1
EVERESTIND,Tier 3
EXCELINDUS,Tier 2
EXCELSOFT,Tier 0.5
EXPLEOSOL,Tier 1
FABTECH,Tier 0.5
FAIRCHEMOR,Tier 1
FAZE3Q,Tier 2
FEDDERSHOL,Tier 3
FERMENTA,Tier 2
FINKURVE,Tier 2
FINOPB,Tier 1
FOCUS,Tier 3
GALAPREC,Tier 2
GANDHITUBE,Tier 3
GANESHBE,Tier 1
GANESHCP,Tier 2
GAUDIUMIVF,Tier 3
GAYAPROJ,Tier 3
GCSL,Tier 2
GEECEE,Tier 3
GEMAROMA,Tier 0.5
GFLLIMITED,Tier 3
GHCLTEXTIL,Tier 1
GICHSGFIN,Tier 3
GKSL,Tier 0
GKWLIMITED,Tier 3
GLOBAL,Tier 3
GLOSTERLTD,Tier 3
GLOTTIS,Tier 0.5
GNRL,Tier 3
GODAVARIB,Tier 1
GPTHEALTH,Tier 1
GREENPOWER,Tier 1
GRPLTD,Tier 1
GTPL,Tier 1
GULPOLY,Tier 1
HALDYNGL,Tier 3
HARDWYN,Tier 3
HARIOMPIPE,Tier 1
HEALTHX,Tier 1
HERANBA,Tier 2
HEXAGON,Tier 0
HEXATRADEX,Tier 3
HIMATSEIDE,Tier 1
HINDCOMPOS,Tier 3
HITECHCORP,Tier 3
HITECHGEAR,Tier 2
HLVLTD,Tier 3
HMAAGRO,Tier 1
HMVL,Tier 1
HTMEDIA,Tier 1
HUHTAMAKI,Tier 1
ICEMAKE,Tier 1
IFBAGRO,Tier 3
IFGLEXPOR,Tier 1
IGPL,Tier 1
IKIO,Tier 1
IMPAL,Tier 0
INDOAMIN,Tier 3
INDOBORAX,Tier 3
INDOFARM,Tier 1
INDORAMA,Tier 3
INDPRUD,Tier 3
INNOVANA,Tier 3
INNOVISION,Tier 0
INTLCONV,Tier 3
INVPRECQ,Tier 2
IRIS,Tier 1
IRISDOREME,Tier 1
IRMENERGY,Tier 2
IVALUE,Tier 0.5
JAGRAN,Tier 2
JARO,Tier 0
JAYAGROGN,Tier 3
JINDALPHOT,Tier 3
JITFINFRA,Tier 3
JPOLYINVST,Tier 3
JYOTISTRUC,Tier 3
KABRAEXTRU,Tier 3
KAMATHOTEL,Tier 1
KAMDHENU,Tier 2
KANORICHEM,Tier 3
KAPSTON,Tier 2
KECL,Tier 3
KELLTONTEC,Tier 1
KHAICHEM,Tier 2
KILITCH,Tier 3
KIRANVYPAR,Tier 3
KNAGRI,Tier 3
KOKUYOCMLN,Tier 3
KOPRAN,Tier 2
KOTHARIPET,Tier 3
KRISHIVAL,Tier 2
KRONOX,Tier 3
KROSS,Tier 1
KRYSTAL,Tier 1
KSOLVES,Tier 1
KUANTUM,Tier 1
LAXMIDENTL,Tier 1
LAXMIINDIA,Tier 0.5
LGHL,Tier 3
LIKHITHA,Tier 2
LINC,Tier 1
LINCOLN,Tier 2
LOKESHMACH,Tier 3
MAANALU,Tier 2
MACPOWER,Tier 1
MADRASFERT,Tier 3
MAFATIND,Tier 2
MAGADSUGAR,Tier 2
MAHASTEEL,Tier 3
MALLCOM,Tier 1
MAMATA,Tier 2
MANAKCOAT,Tier 1
MANALIPETC,Tier 3
MANBA,Tier 1
MASTERTR,Tier 3
MATRIMONY,Tier 1
MAXIND,Tier 1
MCCHRLS-B,Tier 3
MCLEODRUSS,Tier 3
MEIL,Tier 0
MENONBE,Tier 1
MERCURYEV,Tier 3
MGEL,Tier 3
MICEL,Tier 3
MINDTECK,Tier 3
MMP,Tier 2
MODINATUR,Tier 2
MODIS,Tier 2
MODISONLTD,Tier 3
MOL,Tier 1
MONTECARLO,Tier 1
MUFTI,Tier 1
MUKKA,Tier 3
MUNJALAU,Tier 3
MUNJALSHOW,Tier 3
MVGJL,Tier 3
MWL,Tier 2
NAHARINDUS,Tier 3
NAHARPOLY,Tier 3
NAHARSPING,Tier 3
NBIFIN,Tier 3
NCLIND,Tier 3
NDTV,Tier 3
NELCAST,Tier 1
NIITLTD,Tier 1
NILASPACES,Tier 3
NILE,Tier 3
NINSYS,Tier 3
NRAIL,Tier 3
NRL,Tier 3
OAL,Tier 1
OCCLLTD,Tier 1
OMAXE,Tier 3
OMINFRAL,Tier 1
OMPOWER,Tier 0
ONMOBILE,Tier 1
ONWARDTEC,Tier 1
ORBTEXP,Tier 3
ORICONENT,Tier 3
ORIENTTECH,Tier 1
OSWALAGRO,Tier 3
OSWALGREEN,Tier 3
PANACHE,Tier 3
PANSARI,Tier 3
PASHUPATI,Tier 3
PASUPTAC,Tier 3
PATELRMART,Tier 0.5
PAUSHAKLTD,Tier 3
PDMJEPAPER,Tier 3
PENINLAND,Tier 3
PLATIND,Tier 2
PNGSREVA,Tier 0
PPL,Tier 3
PRADPME,Tier 3
PRAVEG,Tier 1
PRECAM,Tier 1
PRECOT,Tier 3
PREMIERPOL,Tier 3
PRIMESECU,Tier 3
PRIMO,Tier 3
PROSTARM,Tier 2
PROZONER,Tier 2
PTL,Tier 3
PUNJABCHEM,Tier 1
PVP,Tier 3
PVSL,Tier 1
PYRAMID,Tier 1
QUICKHEAL,Tier 1
RADHIKAJWE,Tier 3
RAJOOENG,Tier 2
RAJPALAYAM,Tier 3
RAJRILTD,Tier 3
RAMASTEEL,Tier 3
RATNAVEER,Tier 3
RBZJEWEL,Tier 1
REGAAL,Tier 2
REPRO,Tier 2
RGL,Tier 1
RIIL,Tier 3
RITCO,Tier 3
RMDRIP,Tier 3
ROHLTD,Tier 1
ROTO,Tier 3
RSL,Tier 0
RSWM,Tier 1
